Guid,Title,OtherTitle,Color,ReleaseYear,Duration,Mode,Comment,Published,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy
3836de23-31c9-4dca-9c6b-a8c788b3225f,Tadeo Jones 2: El secreto del Rey Midas,"Tad, the Lost Explorer, and the Secret of King Midas; Tad Jones: The Hero Returns",C,2017,85,A,,True,,,,
3840e603-d4f7-4d5c-8579-4a5a95cde5da,The Wizard of Oz,,M,1939,102,L,,True,,,,
38494595-60c8-4864-9201-55f5061b475a,The Goose and the Golden Egg,Fractured Fairy Tales,C,1961,4,A,,True,,,,
384d79a6-ce57-469d-8082-76381bd11170,Tales of Halloween,Ding Dong,C,2015,92,L,"The segment ""Ding Dong"" references Hansel & Gretel
Credits listed in this entry are for ""Ding Dong"" only, so I've included ""Ding Dong"" as an alternate title",True,,,,
384e80a8-5247-439e-a2e9-6e1978538651,Santa and the Ice Cream Bunny,,C,1972,96,L,Some of the credits are for archive footage from Thumbelina,True,,,,
3856b01c-34c6-4705-b3e6-d478ab337296,Vechera na khutore bliz Dikanki,"Вечера на хуторе близ Диканьки, Evenings on a Farm near Dikanka, The Night Before Christmas",C,1961,69,L,"I'm not sure of the origin.
AM: Origin is https://en.wikipedia.org/wiki/Evenings_on_a_Farm_Near_Dikanka
Specifically, The Night Before Christmas / Christmas Eve",True,,,,
38617715-378c-4cce-82a4-4a722e1dc6fd,Vlyublennoe Oblako,The Cloud in Love,C,1959,17,A,I'm not sure of the origin.,True,,,,
386cac06-88de-4a42-8a23-ea9d36b53697,Sergeant Madden,New York Cinderella,BW,1939,80,L,,True,,,,
3870b237-1637-48d9-ac05-28b1720ae759,Beauty and the Beast,,C,1987,60,L,,True,,,,
387234bd-4cd0-4c87-ae51-1246f3046a24,3 Misses,Three Misses,C,1998,11,A,I'm not sure of the language.,True,,,,
387a5af9-8b1d-4b96-b42e-92755cc5dc9c,Tiny Tom,Fractured Fairy Tales,C,1960,4,A,,True,,,,
388a6421-dc4f-4950-8397-df2430e0ee39,King Midas,,C,2003,83,L,,True,,,,
388f3803-cc66-4dd7-8cb2-142f63d0eca6,Steklyannaya garmonika,The Glass Harmonica,C,1968,19,A,I'm not sure of the origin.,True,,,,
