FilmId,PersonId,RoleId,FilmGuid,PersonGuid,RoleGuid
35,181,52,a26e1604-d107-4bf5-8a80-975b3c9c9d9b,ddb502e8-5694-453f-ae7e-e75361ef7d31,0a06f05f-4227-4cd1-be82-768ac687566e
35,181,54,a26e1604-d107-4bf5-8a80-975b3c9c9d9b,ddb502e8-5694-453f-ae7e-e75361ef7d31,ee4cde42-6504-4d43-a208-adda6604cb89
35,181,56,a26e1604-d107-4bf5-8a80-975b3c9c9d9b,ddb502e8-5694-453f-ae7e-e75361ef7d31,d26ce4be-ef14-417f-bf6b-091c904e5542
35,191,55,a26e1604-d107-4bf5-8a80-975b3c9c9d9b,40d4faa9-9879-4fae-91d3-9b7c3ed76bac,c1748552-8cdb-4549-bde4-7d800ff26961
35,192,55,a26e1604-d107-4bf5-8a80-975b3c9c9d9b,566b8117-ec29-468b-8e01-36635e7b6b3e,c1748552-8cdb-4549-bde4-7d800ff26961
35,194,55,a26e1604-d107-4bf5-8a80-975b3c9c9d9b,dcdfef89-4b3c-467a-95e0-55f21d481494,c1748552-8cdb-4549-bde4-7d800ff26961
35,195,55,a26e1604-d107-4bf5-8a80-975b3c9c9d9b,ae90be21-9faf-443e-9b62-4923e2e713be,c1748552-8cdb-4549-bde4-7d800ff26961
35,196,57,a26e1604-d107-4bf5-8a80-975b3c9c9d9b,7c547269-0835-43a3-9e9c-01343a3b245f,b2a6359d-593f-417d-8eca-05e04a4545c3
35,197,58,a26e1604-d107-4bf5-8a80-975b3c9c9d9b,9ef3f3f0-aa58-4598-9db6-48eeb0225e29,07960137-9436-4efc-8c41-d54d448210d5
35,473,55,a26e1604-d107-4bf5-8a80-975b3c9c9d9b,cd6acd8e-28ce-466c-addd-574afef6131a,c1748552-8cdb-4549-bde4-7d800ff26961
36,182,52,7c09b09c-e082-471c-b605-0f412b6316e8,412dea50-bd84-4ed7-a8d7-f1255059d7de,0a06f05f-4227-4cd1-be82-768ac687566e
36,182,54,7c09b09c-e082-471c-b605-0f412b6316e8,412dea50-bd84-4ed7-a8d7-f1255059d7de,ee4cde42-6504-4d43-a208-adda6604cb89
36,182,56,7c09b09c-e082-471c-b605-0f412b6316e8,412dea50-bd84-4ed7-a8d7-f1255059d7de,d26ce4be-ef14-417f-bf6b-091c904e5542
36,198,57,7c09b09c-e082-471c-b605-0f412b6316e8,1afe6a18-25a3-444f-8049-9f83bf538980,b2a6359d-593f-417d-8eca-05e04a4545c3
