FilmId,CompanyId,FilmGuid,CompanyGuid
86,43,1d63ecbd-c59d-4187-8e42-bb97c13e4c6a,ac07abfc-dce9-42a1-84ce-ef153144fe2c
87,54,b531ee37-7cda-48b8-83fa-283ebff8e6bc,51010575-ba26-4ba8-8168-de53b7177878
88,54,8cb24502-60f6-4c9d-a3a3-468a9bfb819f,51010575-ba26-4ba8-8168-de53b7177878
89,43,d02dbe90-d63d-4a3e-9df2-790bdfddb46d,ac07abfc-dce9-42a1-84ce-ef153144fe2c
90,30,1f6a5167-47a8-4523-bee4-9b7a58a9dbdd,a6fb385e-22fe-486e-b782-4cf0af80883e
91,45,b926a39e-e6b5-4afd-8ab7-39303e9b3442,3ab6caf4-1130-47f8-bf4e-0a03d5b610b1
91,46,b926a39e-e6b5-4afd-8ab7-39303e9b3442,5a2b1b3e-f6ac-4413-9b04-c099d3d387dc
92,30,844b6d5d-b89e-454f-b35b-d7e76244cb41,a6fb385e-22fe-486e-b782-4cf0af80883e
93,31,0b69bba9-cbcf-4ff6-8687-a60d169f5e73,643463a8-3ea8-44dc-ac7d-edf798007c9a
94,39,9113743c-b4ed-4180-827f-7e3aa40f54f6,46b39fb6-ca64-47e0-af4b-d6be666d3423
94,40,9113743c-b4ed-4180-827f-7e3aa40f54f6,b03d3c4e-5bbd-442d-a543-662fef8df643
95,39,7d013e7f-0d18-488c-964d-5e827080a2e3,46b39fb6-ca64-47e0-af4b-d6be666d3423
95,40,7d013e7f-0d18-488c-964d-5e827080a2e3,b03d3c4e-5bbd-442d-a543-662fef8df643
96,40,a06264a4-54e4-4cc7-b0fb-9c9741378c88,b03d3c4e-5bbd-442d-a543-662fef8df643
96,389,a06264a4-54e4-4cc7-b0fb-9c9741378c88,eb3bc666-9012-45eb-a96c-9253fcaca6bd
97,39,6581ff71-7e62-4281-9d10-afcb1467afa7,46b39fb6-ca64-47e0-af4b-d6be666d3423
97,40,6581ff71-7e62-4281-9d10-afcb1467afa7,b03d3c4e-5bbd-442d-a543-662fef8df643
98,39,0579d7c7-75ac-4734-b227-4bfa1eb4e55f,46b39fb6-ca64-47e0-af4b-d6be666d3423
98,40,0579d7c7-75ac-4734-b227-4bfa1eb4e55f,b03d3c4e-5bbd-442d-a543-662fef8df643
99,39,ee1831be-46fa-4f0b-8c3f-be9407b5cb82,46b39fb6-ca64-47e0-af4b-d6be666d3423
99,40,ee1831be-46fa-4f0b-8c3f-be9407b5cb82,b03d3c4e-5bbd-442d-a543-662fef8df643
100,39,f1278e01-f1d6-473d-bb93-f53abd97006f,46b39fb6-ca64-47e0-af4b-d6be666d3423
100,40,f1278e01-f1d6-473d-bb93-f53abd97006f,b03d3c4e-5bbd-442d-a543-662fef8df643
101,39,35ff991c-175f-4dcb-85ba-082cac8e755c,46b39fb6-ca64-47e0-af4b-d6be666d3423
101,40,35ff991c-175f-4dcb-85ba-082cac8e755c,b03d3c4e-5bbd-442d-a543-662fef8df643
102,39,f41abd3b-8a10-4381-9801-17a4aa424ca6,46b39fb6-ca64-47e0-af4b-d6be666d3423
102,40,f41abd3b-8a10-4381-9801-17a4aa424ca6,b03d3c4e-5bbd-442d-a543-662fef8df643
103,81,92cde026-876a-4c30-8cdc-aa15753a1b62,69ce1167-f1b7-4cfa-82f5-d07852a9f2a0
104,81,9f1255bf-228d-49c3-9c79-4cf73262e12d,69ce1167-f1b7-4cfa-82f5-d07852a9f2a0
105,81,ee768c26-45e7-4d79-99ca-26141c2f590b,69ce1167-f1b7-4cfa-82f5-d07852a9f2a0
106,81,a4104146-3d5e-431e-85d9-3285f6f039b9,69ce1167-f1b7-4cfa-82f5-d07852a9f2a0
107,81,fb35308a-fce1-47fe-9f1c-9ebd832378e0,69ce1167-f1b7-4cfa-82f5-d07852a9f2a0
108,26,d8274a80-6a23-4595-8230-ba44cdbb6787,f0bad430-4136-464a-9ee5-75145b4ebade
109,26,0441c548-bfe9-4638-8d52-2f828208e973,f0bad430-4136-464a-9ee5-75145b4ebade
110,26,f273b90c-181d-491d-94a5-5fb4a649b8a7,f0bad430-4136-464a-9ee5-75145b4ebade
111,26,b82c2e62-1c7d-4359-8d14-a2cb4f2545ff,f0bad430-4136-464a-9ee5-75145b4ebade
112,58,b256c08e-0102-4f5c-9510-263525a3e1c6,fe9a22f2-a70f-46af-921b-f2b0d7f2be1e
113,59,2b68cb60-0334-4d1e-a188-2d7db22104f9,ac6febdc-0d22-4d97-b85b-3e4617e8c7f2
115,60,a2aae0dc-4bcd-42be-b9a3-c3f68e88c9f2,4db42aef-e42d-4e2b-8299-274d17e1f061
