Guid,Title,Code,Author,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy
2001a597-a307-4b80-a98b-c757f5561d2f,Hanasaka Jiisan (The Story of the Old Man Who Made Withered Trees to Blossom),null,null,,,,
20797a86-ef15-459a-b506-01b35b0e16bb,Blind Vaysha,null,Georgi Gospodinov,,,,
21042e54-eb6b-4920-8d9d-aebe9030af05,Baš Čelik,null,null,,,,
21b0098d-d638-4977-8829-eb59e2aa6531,Przyjaciel wesołego diabła,null,Kornel Makuszynski,,,,
22696324-bb0d-45a4-8201-26ea3bbe9fdc,The Pied Piper of Hamelin,null,null,,,,
22a9832f-e3b9-4ca0-858e-c354940c64ca,The Three Golden Children,707,null,,,,
22be0ebc-04a6-457f-b46e-00d340fdae41,The Faithless Mother,590,null,,,,
22e72c41-2f7c-460d-9eea-1b0de3c087bd,The Clever Farmgirl,875,null,,,,
23ba372a-af2d-440f-b8ef-794ef52aa077,Aladdin,561,null,,,,
23e61dc3-5482-43c3-a154-a84094bcdca3,The Story of the False Prince,null,Wilhelm Hauff,,,,
241b1600-9f60-4711-b263-86da415c0421,null,null,Diana Wynne Jones,,,,
24319740-b9c3-4a97-9a20-b0a75a677ff4,The Long Shadow,null,Hans Christian Andersen,,,,
2465965d-62f7-4f90-b7eb-a126645af6e6,A Fairy Tale Told at Night,null,Wilhelm Hauff,,,,
24da7e3d-c101-471f-96f4-620e53152c37,The Sheep Pig,null,Dick King-Smith,,,,
24fd5e11-8de4-4539-9656-84da6a5d4158,The Worst Witch,null,Jill Murphy,,,,
25146304-b1ed-4ec0-a9f2-ae1b212b4821,Water of Life,551,null,,,,
251f7ee5-da80-4bcb-b7fd-aff4272e6f52,Kalif Storch (Caliph Stork),null,Wilhelm Hauff,,,,
252206e8-b0df-433f-a360-d5fed5475f7a,Xala,null,Ousmane Sembène,,,,
25a5f117-d6a1-4f69-8f57-8696161da52f,Król Maciuś Pierwszy,null,Janusz Korczak,,,,
26c817ef-9b23-4973-82cc-e96a1a97d5dc,The Ugly Duckling,null,Hans Christian Andersen,,,,
2717d189-8d10-45f2-9393-b7c16da9ae8a,The Fisherman and his Soul,null,Oscar Wilde,,,,
271f01f4-959a-485b-a9d1-2a459a1ddeeb,The Animal as Bridegroom,425A,null,,,,
2852874c-fede-4ccc-93a9-4fe7efb39ad9,Versailles no bara/La Rose de Versailles,null,Riyoko Ikeda,,,,
2875ff69-1064-4a29-80dd-708b7d3da65e,The Gruffalo,null,Julia Donaldson,,,,
28dbc433-5824-4b91-ab0d-406b655ae8b1,null,null,Charles Perrault,,,,
2910befc-9380-4580-9fb8-db3a48f51a32,What the Old Man Does is Always Right,null,Hans Christian Andersen,,,,
29111125-d207-443c-ae0f-54aff7df5d95,The Silent Book,null,Hans Christian Andersen,,,,
2935d83b-7e95-4717-b9b0-f33850f98ef3,The Chronicles of Narnia,null,C.S. Lewis,,,,
2972f017-7769-4738-9022-d25a9a845968,The Twins Or Blood-Brothers,303,null,,,,
29c7b9ca-ed1b-451a-becf-f4cce3d8951b,Clumsy Hans,null,Hans Christian Andersen,,,,
2a898059-bc57-4390-a10a-0358c8ee3847,The Lazy Boy,675,null,,,,
2bd46c51-f41b-4c6e-a55d-d4371f495117,Undine,null,Friedrich de la Motte Fouqué,,,,
2c89c4a4-e2d6-43a8-a8ed-59770c8b5089,Thumbelina,null,Hans Christian Andersen,,,,
2cc1b34d-22dc-4f3e-9e6e-f1bc622ffc6b,Godfather Death,332,null,,,,
2cd79a7f-97d7-4335-b032-40e87299c155,The Three Oranges,408,null,,,,
2d645b0c-5c86-4ca6-9b35-8e7fecf04fdf,The Red Shoes,null,Hans Christian Andersen,,,,
2dbafd21-f2d8-4ca2-be38-405776ab0e22,The Magic Bird-Heart,567,null,,,,
2dcf225e-f8fd-4b69-8bba-c07674f80ede,Monkey King,null,null,,,,
2ddadfb3-aaf7-4b32-9d1e-99b5b6343bdc,Chicken Little,null,null,,,,
2ec8f7c6-26c7-4743-9f23-3d8374c21322,Jagor,null,"Ivana Brlic–Mažuranic ",,,,
2f091f27-e43b-43ff-8d25-9edbd3a1c2fe,Blowing the House In,124,null,,,,
2f40cee9-8056-41b5-9ace-0eb49b8f17d9,null,null,Vazha Pshavela,,,,
3159d781-02ed-4a5f-8607-bad6f71f4fcb,The Spruce Tree,null,Hans Christian Andersen,,,,
31ef7b08-fa9a-4aa9-b51d-662c6adf2b8c,The Smith and the Devil,330,null,,,,
3327eaaa-95a2-486d-8521-1bd82d5cf37a,Cinderella and Peau d'Âne,510,null,,,,
3364b5b3-1951-4fea-9194-76205869b93f,Oseam,null,Chae-bong Jeong,,,,
339404af-c2af-43db-860a-b2f4f61b647a,The Forsaken Fiancée‎:  Service as Menial,884,null,,,,
33bba8b7-e361-465b-9260-3ea2f16aedc0,The Two Who Stole the Moon,null,Kornel Makuszynski,,,,
34123f18-36d5-46be-8a33-881354e83d86,Tři zlaté vlasy děda Vševěda,null,Karel Jaromír Erben,,,,
3416ba80-bc50-4878-bde9-db3e2d9caa87,Lisova pisnya,null,Lesya Ukrainka,,,,
351e534f-c5d4-454d-9278-cc5f8bc8bc2c,Whittington's Cat,1651,null,,,,
358b94b5-3617-4f9f-983e-caf7e425ffac,The Youth Who Wanted to Learn What Fear Is,326,null,,,,
364c7a17-4010-400d-b92f-a6d13e3ac611,Šuma Stribotrova,null,Ivana Brlic–Mažuranic,,,,
365ec50f-31cf-48ec-90d8-399845d82491,The Devoted Friend,null,Oscar Wilde,,,,
36d7f24f-c38e-42a9-8fd1-f579226298ab,The Boy Who Cried Wolf,null,null,,,,
37c14e43-471b-4cba-ab88-160730fbc35f,The Three Wishes,750A,null,,,,
38332cfe-7cb9-4dbf-bef9-ed7152d3e801,Contest in Lying,1920,null,,,,
3862025d-a49e-4cbc-8f7e-858c757202bd,The Happy Prince,null,Oscar Wilde,,,,
38bcba82-2b16-4f01-a8ba-6c5b3499c459,Shadows of Forgotten Ancestors,null,Mykhailo Kotsiubynsky,,,,
39a06e4a-d409-47fc-890f-3100b6861f45,Vasilisa the Beautiful,null,null,,,,
3a861726-84ee-4b0f-b63e-822a75b581ed,The Monster's Bride,507,null,,,,
3b2a7b84-e10c-42cb-9bb1-f01598cd36c4,The Four Skillful Brothers,653,null,,,,
3bc1e710-0aa1-41bc-8c54-ae1c774b424b,Heartache,null,Hans Christian Andersen,,,,
3c506a3a-e2fa-4ccf-9a83-fcc55103f369,Coal Turns into Gold,476,null,,,,
3c777560-2f7d-452d-a2c2-cdf0d22d8867,Philomel Cottage,null,Agatha Christie,,,,
3d1bc7f4-e0ed-4100-bb03-38598f2cbad7,Three Hairs from the Devil's Beard,461,null,,,,
3d2c3aec-215e-4481-a3d6-2d44f006f8d9,The Confessions of an Ugly Stepsister,null,Gregory Maguire,,,,
3d86560b-f3d9-4433-b909-0e5612300e4b,The Garden of Paradise,null,Hans Christian Andersen,,,,
3da3bc9f-dc63-492c-b729-299e59fc0229,The House in the Forest,431,null,,,,
3ea5fd91-147a-409d-a64c-650bf87fe7fd,The Galoshes of Fortune,null,Hans Christian Andersen,,,,
3fb86550-56cd-4cb3-969c-8c014aefcfc1,Porwanie w Tiutiurlistanie,null,Wojciech Zukrowski,,,,
401efe31-71c3-421b-b443-aa458eead89a,Ole Lukøje,null,Hans Christian Andersen,,,,
40799db9-a2bd-43f1-89dd-3d2e4ffd8cc3,"udnovate zgode šegrta Hlapia ",null,Ivana Brlic-Mazuranic,,,,
40928d8d-1194-431c-b0fa-2ee4630fef20,Aregnazan,null,Ghazaros Aghayan,,,,
40b736e4-3eff-44db-8fc8-e191322c321b,The Gifts of the Little People,503,null,,,,
40cba4e4-af15-4760-8bd5-6c8d44127a42,Rebecca,null,Daphne du Maurier,,,,
40ceb884-0d17-403f-bb7f-8610d8557483,Midsummer Night's Dream,null,William Shakespeare,,,,
42c2d158-2eff-49dc-8bcd-ac9f66e39be2,L'Orphelin de Perdide,null,Stefan Wul,,,,
42ee27be-026f-44fb-a84b-853fcf8e469e,Kytice,null,Karel Jaromír Erben,,,,
43e30935-f7a3-46da-9ba2-feefb50de49b,The Carpet from Bagdad,null,Harold McGrath,,,,
43e9effe-b26f-4e29-b36a-bf6dca01847f,null,null,Samuil Marshak,,,,
44e6abbd-df57-49d5-a61d-18fb5a2b3f82,The Robber Bridegroom,955,null,,,,
44e87040-f5c7-4fae-b518-21be160d6e5c,The Bear with the Wooden Leg,161A*,null,,,,
451190f4-5d66-401b-9e72-d92b3415295a,The Fall of the House of Usher,null,Edgar Allan Poe,,,,
453d83bd-9f1b-4e33-95c3-80cd8d1e6c7d,The Wild Swans,null,Hans Christian Andersen,,,,
454b7531-e5a7-407a-a7a7-20c1de646d93,Sedmero krkavců (The Seven Ravens),null,Božena Nemcová,,,,
459b951f-5c71-4f33-9fa2-9cd7221100a6,Rusalka,null,null,,,,
45a0f4ec-3b5c-47ac-8460-854764b0490e,Skazka o tsare Saltane,null,Aleksandr Sergeyevich Pushkin,,,,
45c66cfc-063a-44d2-806b-f1a421fe7ee4,null,null,Georges Méliès,,,,
460f8486-9555-469b-bdae-2c5e685363e6,Liar,null,Hovhannes Tumanyan,,,,
4674ad0a-6c7c-4d13-b310-34d4e98e9905,The Young Englishman,null,Wilhelm Hauff,,,,
46a3a846-0594-4572-bd98-44af98531585,Puss in Boots,545B,null,,,,
4721d9ec-4d7d-406e-a2d3-a7dde99a6307,null,null,Hayao Miyazaki,,,,
47e12eab-06c4-4f53-bd0f-37cfca9e0335,Mike Mulligan and His Steam Shovel,null,Virginia Lee Burton,,,,
49234889-e814-42a7-a061-1d9e6d51df42,The Hunting of the Snark,null,Lewis Carroll,,,,
497b8a19-994f-4317-b1f3-e6d20ea2ffd9,The Maiden without Hands,706,null,,,,
49f8e238-2f7f-4339-9a92-39d4bb28a19a,Die kleine Hexe,null,Otfried Preußler,,,,
4a066eab-4b69-4611-a049-80f0dabce8c4,The Magic Providing Purse,564,null,,,,
4a6ffa3c-bdc8-4d45-966a-48ad4941b9fd,Men Fight over Magic Objects,518,null,,,,
4b49564f-28cc-4cfd-88db-05949b12da90,The Seven Swans,null,Hans Christian Andersen,,,,
4cdbfcb2-c71f-46e0-8ea1-e97c1bc2dcb4,The Black and the White Bride,403,null,,,,
4e1b5e5a-bef7-4f7b-88eb-6444810679b2,Our Lady's Child,710,null,,,,
4e5a399a-4a39-4873-bc65-cdb77f0084d0,Dog and Cat,null,Hovhannes Tumanyan,,,,
4e8a8494-39a9-4567-99ac-bde43e2920db,Prophecy of Future Sovereignty,725,null,,,,
4f29009a-e0ee-4254-937c-98f3a7c59bb7,The Boy Who Understands the Language of Birds,517,null,,,,
4fe9d1f0-bf6d-49f6-aa39-9adcf0a2756d,Der Zwerg Nase (Little Longnose),null,Wilhelm Hauff,,,,
50356f81-f0b5-4ecb-9c3d-27092c94904e,Love Like Salt,923,null,,,,
5114a753-58aa-44e4-b282-aeefe0d48e16,null,null,Lafcadio Hearn,,,,
51703c7e-f22d-49d7-b1eb-9d4c9b4bbcc5,Country Mouse Visits Town Mouse,112,null,,,,
51895342-607b-4a46-b6d6-693ebfb67e3c,Král Lávra (King Lavra),null,Karel Havlícek Borovský,,,,
