FilmGuid,CountryGuid
01b2c17f-0edc-4dad-afcf-4f0be0d909b0,da0e5068-17c7-451f-9445-2c3db1cc4f5b
01c05bb3-0852-4ad7-9de2-f004744b7534,aee86263-6898-469a-a84e-d8cdfc511ead
01c5af33-6681-48a3-8974-444beff1a0ff,7548d5fd-eb2b-486d-9d1a-2f893d20efb1
01cc22c6-55d8-4cc6-ba20-72065c768164,7b2c792f-e311-4c9d-b0e2-71ae7a090233
01d5d590-3e0c-4421-bc8c-9178de0a0026,a3dd26b7-6955-46c8-846c-ef76047af098
01d5d590-3e0c-4421-bc8c-9178de0a0026,bd238c01-9393-400a-b2ce-34cec2576594
01ec92cd-5372-4b7d-9756-e987225eea87,e6462b88-cbac-45b6-824f-447d44962aee
01fad5ff-ba8e-4333-896d-96392555e397,7b2c792f-e311-4c9d-b0e2-71ae7a090233
020670a7-73f9-40d9-a230-e49086603a47,bd238c01-9393-400a-b2ce-34cec2576594
020ce451-79fb-4354-b042-94940cb6a5a9,a3dd26b7-6955-46c8-846c-ef76047af098
02102214-f9d2-4073-82e0-70b100e526d6,bd238c01-9393-400a-b2ce-34cec2576594
02193f28-c6b1-4b0c-bbda-e355e71cbd99,054fd4a5-1131-4095-8f12-9f6096c3f46c
02229951-f324-4d80-a64c-b9327d472204,054fd4a5-1131-4095-8f12-9f6096c3f46c
02291790-ed6f-4bf9-bb07-f073467c54d9,7401b2c9-c85b-43bc-8b95-5ded4fe6a2f8
02291790-ed6f-4bf9-bb07-f073467c54d9,dcf75591-5e77-4dda-94a7-a9f7fe298383
022df9c4-7feb-4eb5-9cb9-237052d394c8,5998b5fc-e307-4f14-850a-836e280d7ddb
0251daf1-ff2b-4f11-ac3e-a5f0d9705653,c4a32729-7322-41a5-8dec-02142f5828ab
0252026a-e85c-4f30-ab04-15d8739e905a,054fd4a5-1131-4095-8f12-9f6096c3f46c
0252026a-e85c-4f30-ab04-15d8739e905a,bd238c01-9393-400a-b2ce-34cec2576594
02554a69-295a-4335-9192-0688a377a684,bd238c01-9393-400a-b2ce-34cec2576594
025fefea-7a01-4c3a-992a-7e75df460a18,bd238c01-9393-400a-b2ce-34cec2576594
028a5fc2-ae06-4360-90e6-453915e519ec,054fd4a5-1131-4095-8f12-9f6096c3f46c
0293d71a-76e2-4cfa-9940-709ec0115512,a3dd26b7-6955-46c8-846c-ef76047af098
02a23b06-6083-4c82-afe6-b19a4cc003f9,71eb741f-7b0b-4741-8b71-0835756a5a29
02c534aa-f5eb-4df2-8f82-8cb89133ce91,bd238c01-9393-400a-b2ce-34cec2576594
02c557e8-40f3-46a6-b969-c8dbb7c9c169,fb19cf99-ee37-4ad2-b4a3-ea7a8df74f85
02c57ec7-f942-4a09-90ae-44a972f8ec33,bd238c01-9393-400a-b2ce-34cec2576594
02db9d28-7efc-45da-a01e-06e7055d25c6,a3f48d3d-ec6e-47c1-aec5-322b525a24d4
02ecd502-8020-4c3c-968b-9f9c6114f4d7,9aac8899-d00b-4801-a981-52560547df3f
02ecd502-8020-4c3c-968b-9f9c6114f4d7,b93de57f-1c75-4c03-be5c-7589745e4655
02fd16cd-a423-4dcb-b870-91ebcaf87c72,bd238c01-9393-400a-b2ce-34cec2576594
0300696b-10c3-4c07-b820-c3eb553961f1,5998b5fc-e307-4f14-850a-836e280d7ddb
