CompanyId,FilmId
2420,35
4104,35
24,36
30,37
26,38
33,39
34,40
56,47
26,49
515,50
49,53
50,53
51,53
52,53
53,53
43,54
546,55
4328,55
37,56
38,56
30,57
30,58
47,59
30,60
32,61
30,62
57,63
30,64
41,65
4326,66
55,67
30,68
36,69
48,70
26,71
30,72
42,73
42,74
26,75
26,76
26,77
26,78
26,79
26,80
26,81
26,82
42,83
30,84
30,85
43,86
54,87
54,88
43,89
30,90
45,91
46,91
30,92
31,93
39,94
40,94
39,95
40,95
40,96
389,96
39,97
40,97
39,98
40,98
39,99
40,99
39,100
40,100
39,101
40,101
39,102
40,102
81,103
81,104
81,105
81,106
81,107
26,108
26,109
26,110
26,111
58,112
59,113
60,115
61,116
62,117
62,119
64,120
65,120
66,121
67,123
68,123
361,124
67,126
68,126
67,127
68,127
67,128
68,128
67,129
68,129
67,130
68,130
67,131
68,131
67,132
68,132
67,133
68,133
72,134
72,135
72,136
72,137
72,138
72,139
72,140
4266,141
72,142
72,143
80,144
63,145
82,147
83,149
85,150
88,151
89,152
82,153
785,157
801,157
785,158
801,158
801,159
82,160
26,162
54,163
54,164
4283,165
92,167
93,168
26,169
94,169
95,170
97,171
98,172
99,173
100,174
100,175
343,176
62,178
195,178
446,178
101,179
102,180
97,181
103,181
104,182
106,183
107,184
108,185
98,186
109,188
110,189
111,190
112,191
113,192
114,193
2436,193
2437,193
115,194
116,195
117,196
118,198
119,199
120,202
100,204
121,204
122,205
100,206
100,207
100,208
100,209
100,210
100,211
100,212
123,213
124,214
125,215
108,216
126,217
94,218
127,219
518,221
130,222
131,223
108,224
2600,224
132,225
2600,225
133,226
134,227
135,229
136,230
2454,231
137,232
138,233
139,234
140,235
141,236
143,237
303,237
143,240
303,240
142,241
143,242
144,243
145,244
146,245
147,246
42,247
148,248
149,249
107,250
152,252
153,253
127,254
155,256
42,257
26,258
94,258
156,259
157,260
142,261
117,262
158,263
159,264
26,265
94,265
160,266
161,267
2435,267
162,268
163,268
164,269
165,270
135,271
491,272
516,272
167,273
168,274
169,275
136,276
136,277
136,278
170,279
171,280
173,281
174,282
175,283
176,284
177,285
132,286
2600,286
178,287
179,288
132,289
180,290
155,291
181,292
182,293
183,294
184,295
185,296
67,297
186,298
187,299
26,300
186,302
188,303
