FilmId,CountryId
35,106
35,225
36,37
37,185
38,225
39,76
40,225
47,225
49,225
50,74
53,74
54,55
55,76
56,74
57,185
58,185
59,225
60,185
61,110
62,185
63,185
64,185
65,118
66,110
67,225
68,185
69,55
70,76
71,225
72,185
73,225
74,225
75,225
76,225
77,225
78,225
79,225
80,225
81,225
82,225
83,225
84,185
85,185
86,55
87,110
88,110
89,55
90,185
91,225
92,991
93,225
94,225
95,225
96,225
97,225
98,225
99,225
100,225
101,225
102,225
103,225
104,225
105,225
106,225
107,225
108,225
109,225
110,225
111,225
112,37
113,37
114,37
115,225
116,21
116,23
116,160
117,37
117,225
119,225
120,37
120,76
121,69
123,225
124,55
126,225
127,225
128,225
129,225
130,225
131,225
132,225
133,225
134,225
135,225
136,225
137,225
138,225
139,225
140,225
141,225
142,225
143,225
144,74
145,991
147,74
148,74
149,225
150,74
150,107
151,74
151,107
152,225
153,74
155,74
156,76
157,74
158,74
159,74
160,74
162,225
163,110
164,110
165,21
165,67
165,74
165,107
166,225
167,110
168,58
168,74
169,110
170,110
171,37
172,37
172,76
173,37
174,37
175,37
176,76
178,37
178,56
178,225
179,37
180,37
180,76
181,37
181,225
182,37
183,37
183,56
184,151
184,225
185,37
185,225
186,37
186,130
187,37
188,96
189,37
189,225
190,37
190,76
191,37
191,225
192,37
192,225
193,37
193,76
194,37
195,37
196,37
196,225
197,37
198,37
198,225
199,37
200,37
201,37
202,37
203,37
204,37
204,58
205,37
206,37
207,37
208,37
209,37
210,37
211,37
212,37
213,225
214,76
215,225
216,225
217,76
218,110
219,74
221,56
221,225
222,225
223,108
224,76
224,225
225,225
226,225
227,118
229,74
230,993
231,110
232,64
233,56
233,173
234,14
234,37
235,225
236,225
237,225
238,225
239,225
240,225
241,225
242,225
243,76
243,225
244,56
245,110
246,76
246,225
247,225
248,118
249,160
250,225
252,93
253,74
254,74
256,56
256,225
257,225
258,110
259,225
260,76
261,225
262,76
262,225
263,992
264,55
265,110
265,225
266,56
266,161
266,191
267,37
267,67
267,74
268,67
268,151
268,225
269,100
269,225
270,76
271,74
272,225
273,110
274,225
275,225
276,76
277,76
278,76
279,107
280,225
281,225
282,225
283,192
284,110
285,173
286,225
287,165
288,56
289,56
289,76
289,225
290,118
290,225
291,225
292,225
293,225
294,76
295,225
296,225
297,225
298,76
299,76
299,225
300,225
301,225
302,76
303,225
304,21
304,76
304,173
304,225
305,225
306,76
307,14
309,37
309,110
309,225
310,56
310,76
310,225
311,102
312,225
313,74
314,225
315,991
316,74
318,225
319,76
319,225
320,225
321,74
321,107
322,225
323,225
324,995
325,225
326,995
327,76
327,225
328,996
329,56
330,74
331,64
332,74
333,225
334,225
335,107
336,74
337,107
338,107
339,225
340,74
341,56
342,74
343,225
345,225
346,151
347,64
348,74
348,107
349,225
350,110
351,225
352,74
352,107
356,56
356,995
357,76
358,56
358,74
358,107
360,225
361,74
362,123
363,225
364,225
365,56
366,225
367,225
368,225
369,102
370,225
371,225
372,225
373,225
374,64
375,133
376,102
377,64
378,102
378,192
379,64
380,225
381,67
381,74
381,107
384,74
385,61
385,74
386,225
387,151
388,991
389,225
390,102
391,225
392,225
392,995
393,102
393,110
395,225
396,107
397,76
398,107
398,225
399,225
400,225
401,76
402,107
403,225
404,995
405,225
406,225
407,64
408,74
408,107
409,67
409,74
410,225
411,225
412,225
413,225
414,107
415,225
416,225
417,225
418,64
419,107
420,225
421,64
422,64
423,74
426,107
427,74
428,76
428,107
429,996
430,225
431,74
432,76
432,178
433,76
434,225
435,74
436,225
437,225
438,76
439,225
440,225
442,225
443,225
444,225
445,225
446,225
447,991
448,996
449,991
450,993
451,76
452,225
453,225
454,101
454,225
455,225
456,225
457,110
457,225
458,225
459,225
460,225
461,14
461,225
462,102
462,225
463,225
464,76
464,225
465,106
465,225
466,76
