FilmId,LanguageId,FilmGuid,LanguageGuid
4664,51,1675a054-0f81-499e-96a4-06bb126dcf62,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4665,51,5d3f6042-11e5-491d-8f40-051396f5fbb7,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4666,123,ef0f8f96-8e0b-4698-86f5-4106ee1a4c65,e282bd33-9620-400d-91e8-b974d12c0866
4667,51,647f1f62-2710-489c-a4de-1b10226141a1,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4668,51,05c153f9-b082-4af5-b7c2-c7ba7c7681e1,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4669,28,bae40f50-6e24-4dde-9b10-5faba2d4ac89,927df241-9b2c-4a41-bbe1-d6151a413b40
4670,35,a49c8192-f277-4520-b3bd-fc861c825a16,4e44d169-1292-4d6e-b5b9-fddc14fbbcdc
4671,51,691cc828-b519-4513-b4a2-27fc40aa9793,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4672,26,62966831-ee3a-4cc8-9a02-c20e3474aaf2,5db38fdd-3b64-4392-9002-ce7512bf3ceb
4673,51,30880e44-8c26-4c56-87a2-ec26550d989e,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4674,51,da7ec6d1-e76b-4f17-9904-bd7d6942cb2c,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4676,40,1017993f-ef2c-4037-8ece-70ce800d8df6,4fa23b9d-0f0a-49a5-848f-591e23711c37
4677,51,e83371e6-fd37-41dd-ab66-576e1551e5a3,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4678,51,5df1240d-8ba8-4102-b5da-91d261b0c66d,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4679,51,d885dcad-9dc4-4583-ac8c-16889b83d9cd,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4680,40,07a9d54f-591c-4435-a0c8-c44406556245,4fa23b9d-0f0a-49a5-848f-591e23711c37
4680,82,07a9d54f-591c-4435-a0c8-c44406556245,b4fdee65-3eb6-4778-bb61-a692022ef406
4680,112,07a9d54f-591c-4435-a0c8-c44406556245,68cb3e51-ebdc-4355-bbff-0a3453a371f1
4681,94,166b0f5f-5ab5-4c1c-bed2-9663e2af1c96,25006cc4-a12b-4570-918f-78a97dca46a3
4683,51,8665fdce-25be-49bd-9bb4-b0980bf92c4f,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4684,51,c788c2fe-b485-47b3-8e3b-d96b1588e2d1,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4685,51,03b692c9-4c64-4d49-a4c6-52dcb73c8649,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4686,51,616638b5-087e-4271-83ac-384198ffa34d,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4688,51,56ae2849-654c-4376-b3cb-4cf74d381d4e,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4689,51,4caadd81-bdf0-4060-ad07-1c0c55cc8400,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4690,40,ebd2880d-eb95-4bc2-ae84-59dc2cd49a1d,4fa23b9d-0f0a-49a5-848f-591e23711c37
4691,34,fc23b505-face-4e4f-9b00-af4a49c7b03c,db5c71e1-57ef-4e4d-b808-9c9c6d40f47f
4692,56,391afb23-4266-4297-9bfa-d55e4d9e42ec,fe758c24-6a48-4f9c-8424-ea1956da1ac4
4693,51,3b8ba688-4a02-44f4-9314-560597fda030,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4694,51,ec2ad4e2-4c97-4b30-972f-42fa6a3fa3f8,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4695,46,c69dc985-cb46-416e-aaa4-2aa8e7c5fa1f,3628564c-ce28-4570-8b37-4c1cc4ec385a
4696,51,2ab84e6f-f31b-458c-a446-dda8c839b504,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4697,137,5f971e63-41dd-4589-8e8f-31536f913ec6,3387e5b6-d36d-4475-8b34-e918249b7474
4698,113,c1c15a01-5a66-4943-8da1-da4fc654e0c4,dd7f7eb4-8ef6-47a5-bf4f-dba9a54d4a3b
4698,142,c1c15a01-5a66-4943-8da1-da4fc654e0c4,942de002-9a05-4cd5-b3d3-10a7b5c58de5
4699,51,49e239ce-c460-4e33-a659-184db4523e31,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4701,51,d82707c9-303d-44a7-bf6d-cb5acffdb080,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4702,74,b965912e-8363-43fd-a366-caacc6a929c3,c0109eca-a809-467b-bfd2-3bea6f3a89f1
4703,51,2118e5d6-5ed7-437a-80a2-6d0d2dbf79f1,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4704,115,1f823d08-86ea-469a-9a9d-4c8d47f6b035,70f08629-bd0f-420c-95d9-6d0244c63fc2
4705,47,329db467-8455-49fb-8767-5d4f8ccac825,2872938c-9c70-477b-83c3-3fe8ba4abc89
4705,50,329db467-8455-49fb-8767-5d4f8ccac825,90c27777-4623-4460-9aa3-f57839e1a2ed
4705,55,329db467-8455-49fb-8767-5d4f8ccac825,270ebc71-de8e-476e-9eaf-4d3a9ac687da
4706,35,4f9efbe2-6bc9-44df-9a91-1026d69ea178,4e44d169-1292-4d6e-b5b9-fddc14fbbcdc
4707,51,820268a7-f2ff-4e20-a0b4-7f773f59b543,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4708,51,c84184d8-d601-4ee9-80a4-a9ddee56411d,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4709,40,c9ed09a1-6a13-409a-b960-f78996c7e008,4fa23b9d-0f0a-49a5-848f-591e23711c37
4710,51,949dff87-5b14-4e4c-be6e-6f4c7ee4dd06,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4711,51,e6c14c0b-8aa2-4fe3-87eb-b3cfe29e99c5,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4712,40,a9928196-4f9f-42b2-8856-e4a5e2568c13,4fa23b9d-0f0a-49a5-848f-591e23711c37
4713,51,b4b0710e-e7a4-4973-b020-547ffd324bfe,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4714,109,76e3de23-b8dc-434d-80a1-a5a47b4814e3,564888a3-9c45-45fe-a75d-22f142fe28c1
4715,51,5f778670-4f03-42ef-869c-9da06eb7ac03,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4716,51,77ac3b7e-aeb1-46b7-a643-cfff61d5f22d,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4717,23,b8bbd5d7-292b-4d84-b4f8-45dc5be33433,b933ec53-1f11-4e21-a043-67a2419ee067
4718,51,2928bd4d-2640-4928-b649-d0607c290ec0,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4719,51,106ddc7c-437c-4277-8d15-b100eb35b1e2,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4720,51,99d74ade-a50c-431c-a377-70b9abb76ad7,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4721,51,4e9fb749-6932-45f9-8614-9b85fd10dea3,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4722,51,9864affc-bef2-4add-a55d-cf3e2a7ca35c,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4723,51,1746bcf3-e86e-4e4d-9336-b7f5bbad5cb1,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4723,89,1746bcf3-e86e-4e4d-9336-b7f5bbad5cb1,d66c728d-eb3c-4695-a4d2-3f77f8a5ca59
