LanguageId,Guid,Code,Name
85,060efca7-a39d-467c-b18a-a361acd18890,OM,"Oromo, Afan"
86,ed52d832-b1ec-4891-8fa3-0aee53f8aa25,PS,"Pashto, Pushto"
87,af43285f-20bd-4d67-aaa9-063a6258046b,FA,Persian
88,4a8f0ef7-dbdb-44d7-ad0c-53df3a82b320,PL,Polish
89,d66c728d-eb3c-4695-a4d2-3f77f8a5ca59,PT,Portuguese
90,15063be2-23ca-4b30-ac32-dce9586f186b,PA,Punjabi
91,63ec02b2-1117-4d26-bc1e-02ef725729eb,QU,Quechua
92,7585bdc6-f143-4417-bf0a-28dcf3974077,RM,Rhaeto-Romance
93,38962bb9-86b9-4d16-ad61-6436782a7783,RO,Romanian
94,25006cc4-a12b-4570-918f-78a97dca46a3,RU,Russian
95,80f22801-9f87-43d9-b0ae-2b37fa909658,SM,Samoan
96,de15d143-8d23-4118-b273-9dfde2eed380,SG,Sangro
97,5fc3c110-47bb-4a86-b144-a298f9e6153b,SA,Sanskrit
98,be780d31-0e95-45fa-9256-19c77a769c5c,SR,Serbian
99,501c6680-46c4-4dd9-8b93-998921a295d3,SH,Serbo-Croatian
100,030f5b39-a922-4d11-8188-76529003baad,ST,Sesotho
101,a9a1f99b-deb2-48bd-8331-15647ea21e1e,TN,Setswana
102,7a5bfcac-29ca-45b1-bf3e-c6cc3d11d0ff,SN,Shona
103,4953393d-2151-445c-af31-8f9f8e45ca27,SD,Sindhi
104,6750f02a-6811-4cd7-ab69-02fa57f9cfa3,SI,Singhalese
105,2f8fd847-7107-4f75-8772-9f1b8837c2ff,SS,Siswati
106,4ff7967b-ba33-4eb7-a6f1-43348acfd978,SK,Slovak
107,d2824434-f3ce-495e-a9c2-573cae2f6f6e,SL,Slovenian
108,9971d996-b67e-403d-94c9-2616d20549e0,SO,Somali
109,564888a3-9c45-45fe-a75d-22f142fe28c1,ES,Spanish
110,d6415d27-b646-468a-9d73-b2044b0ee37f,SU,Sudanese
111,accae554-284a-49d7-b402-049feab331af,SW,Swahili
112,68cb3e51-ebdc-4355-bbff-0a3453a371f1,SV,Swedish
113,dd7f7eb4-8ef6-47a5-bf4f-dba9a54d4a3b,TL,Tagalog
114,7d610149-c59f-49f4-8747-a1c3d58b754b,TG,Tajik
115,70f08629-bd0f-420c-95d9-6d0244c63fc2,TA,Tamil
116,6ff62447-bd33-49d4-93c5-15ec981846c1,TT,Tatar
117,7ebc4be7-d1e1-4698-9720-9c1bdc6dd3e2,TE,Tegulu
118,7d02c046-57b7-4b14-9813-eb12fc2350e0,TH,Thai
119,3d3f69c7-72e0-427a-a3c2-eea3ee272f87,BO,Tibetan
120,4bdedd2a-f64a-4f23-adc2-5b92aaee6107,TI,Tigrinya
121,aa0c18c7-f02c-48d5-9ecd-4ab2a350c002,TO,Tonga
122,797dee46-ece2-4b3f-a453-3c2af7323cc1,TS,Tsonga
123,e282bd33-9620-400d-91e8-b974d12c0866,TR,Turkish
124,6b0229ef-a45b-416f-9539-9ab2beb14d7d,TK,Turkmen
125,2673f1d7-080a-4401-9a6a-1279c0821a21,TW,Twi
126,7a54cb57-4518-4ee3-b447-3ab0095a379f,UK,Ukrainian
