OriginId,Title,Code,Author
1441,Daemonologia Rubinzalii Silesii,null,Johannes Praetorius
1440,The Magic Flute,null,Wolfgang Amadeus Mozart
1439,Momo,null,Michael Ende
1438,Der kleine Muck (The Story of Little Muck),null,Wilhelm Hauff
1437,Die Heinzelmännchen,null,August Kopisch
1436,Gritta von Rattenzuhausebeiuns,null,Bettina and Gisela von Arnim
1434,Die Schwarze Mühle,null,Jurij Brezan
444,Tři zlaté vlasy děda Vševěda,null,Karel Jaromír Erben
443,"Obušku, z pytle ven!",null,Karel Jaromír Erben
441,Rusalka,null,null
440,Zlatovláska,null,Karel Jaromír Erben
439,Starých pověstí českých (Old Czech Legends),null,Alois Jirásek
438,Nejkrásnejsí hádanka,null,Jan Drda
437,Sedmero krkavců (The Seven Ravens),null,Božena Nemcová
436,Král Lávra (King Lavra),null,Karel Havlícek Borovský
435,Slovenské pohádky a pověsti (Slovak Fairy Tales and Legends),null,Božena Nemcová
434,Zlaté kapradí,null,Jan Drda
433,The Canterbury Tales,null,Geoffrey Chaucer
432,Monkey King,null,null
431,Journey to the West,null,null
430,Kytice,null,Karel Jaromír Erben
429,Iznogoud,null,René Goscinny and Jean Tabary
428,O Curupira (The Curupira),null,null
427,O Saci (The Saci),null,Monteiro Lobato
426,Shimcheongjeon,null,null
425,Oseam,null,Chae-bong Jeong
423,My Sassy Girl (엽기적인 그녀),null,Ho-sik Kim
421,Gyeonu and Jiknyeo (The Weaver Girl and the Cowherd),null,null
420,"Gumiho (The Fox with Nine Tails, Huli Jin, Kitsune Fox Spirit, Fox Fairy)",null,null
419,Janghwa Hongryeonjeon (The Story of Janghwa and Hongryeon),null,null
418,Fool Ondal and Princess Pyeonggang,null,null
417,Arang,null,null
416,Chunhyangjeon,null,null
415,The Treasure Finders Who Murder One Another,763,null
414,The Animal as Bridegroom,425A,null
413,"Tytus, Romek and A’Tomek",null,Henryk Jerzy Chmielewski
412,The Rose and the Ring,null,William Makepeace Thackeray
411,Xala,null,Ousmane Sembène
410,Le Prix du Pardon,null,Mbissane Ngom
409,Akademia pana Kleksa,null,Jan Brzechwa
408,Baba Yaga,null,null
407,The Birds,null,Tarjei Vesaasa
406,The Boy Who Had Never Seen a Woman,1678,null
405,Walt Before Mickey,null,Timothy Susanin
402,null,null,Jacob and Wilhelm Grimm (Brothers Grimm)
401,null,null,Charles Perrault
400,The Invention of Hugo Cabret,null,Brian Selznick
399,The Long Shadow,null,Hans Christian Andersen
398,null,null,Georges Méliès
397,null,null,Walt Disney
396,Król Maciuś Pierwszy,null,Janusz Korczak
395,Porwanie w Tiutiurlistanie,null,Wojciech Zukrowski
394,Przyjaciel wesołego diabła,null,Kornel Makuszynski
393,The Two Who Stole the Moon,null,Kornel Makuszynski
392,The Moomins Series,null,Tove Jansson
391,The Flax,null,Hans Christian Andersen
390,null,null,Edouard Laboulaye
388,The Story of a Mother,null,Hans Christian Andersen
387,Colargol,null,Olga Pouchine
386,The Spiderwick Chronicles,null,Tony DiTerlizzi and Holly Black
385,Bridge to Terabithia,null,Katherine Paterson
384,The Lost Thing,null,Shaun Tan
383,FernGully,null,Diana Young
382,Dot and the Kangaroo,null,Ethel Pedley
381,Through the Looking-Glass,null,Lewis Carroll
380,Il cavaliere inesistente,null,Italo Calvino
379,The Wolf and the Seven Young Goats,123,null
378,The Three Fat Men,null,Yury Olesha
377,The Tale of the Dead Princess,null,Alexander Pushkin
376,The Shadow,null,Hans Christian Andersen
373,Sol nad zlato,null,Božena Nemcová
372,Regentrude,null,Theodor Storm
371,null,null,Julius Zeyer
370,Sternberk,null,Bozena Nemcová
369,Ceský Honza,null,Jan Drda
368,Die kleine Hexe,null,Otfried Preußler
367,Fimfárum,null,Jan Werich
365,null,null,Giambattista Basile
364,null,null,Beatrix Potter
363,Ruslan i Lyudmila,null,Alexander Pushkin
362,Petya i volk (Peter and the Wolf),null,Sergei Prokofiev
361,The Tragical History of Doctor Faustus,null,Christopher Marlowe
360,Faust,null,Johann Wolfgang von Goethe
359,null,null,Stephen King
358,The Chronicles of Narnia,null,C.S. Lewis
357,Inkheart,null,Cornelia Funke
356,The Little White Horse,null,Elizabeth Goudge
355,Matilda,null,Roald Dahl
354,The Thief Lord,null,Cornelia Funke
353,Nurse Matilda,null,Christianna Brand
352,Tom's Midnight Garden,null,Philippa Pearce
350,The Man Who Was Peter Pan,null,Allan Knee
349,Lisova pisnya,null,Lesya Ukrainka
348,Candide,null,Voltaire
347,The Tale of Despereaux,null,Kate DiCamillo
346,Harry Potter series,null,J.K. Rowling
345,Why the Swallow Has the Tail with Little Horns,null,null
344,Saat Bhai Champa,null,null
343,null,null,Karel Jaromír Erben
341,Jack and Jill,null,null
340,Three Blind Mice,null,null
339,The Crystal Orb,552A,null
338,Baš Čelik,null,null
337,Der Zwerg Nase (Little Longnose),null,Wilhelm Hauff
336,Chicken Little,null,null
335,The Little Red Hen,null,null
334,The Cat that Walked by Himself,null,Rudyard Kipling
333,Swan Lake,null,Pyotr Ilyich Tchaikovsky
332,The Taming of the Shrew,null,William Shakespeare
331,The Sheep Pig,null,Dick King-Smith
330,Big Fish,null,Daniel Wallace
329,Juicy and Delicious,null,Lucy Alibar
328,Where the Wild Things Are,null,Maurice Sendak
327,Kaguya Hime (The Tale of the Bamboo Cutter),null,null
326,The Sandman,null,E. T. A. Hoffmann
324,The Whale Rider,null,Witi Ihimaera
323,null,null,E. T. A. Hoffmann
322,The Secret of Ron Mor Skerry,null,Rosalie K. Fry
321,Appelsinpiken,null,Jostein Gaarder
320,The Witches,null,Roald Dahl
319,The Nutcracker and the Mouse King,null,E.T.A. Hoffmann
318,Possession,null,A.S. Byatt
317,"The Table, the Donkey, and the Stick",563,null
314,The Goat that Lied,212,null
313,Charlie and the Chocolate Factory,null,Roald Dahl
312,My Kingdom for a Woman,null,Ismet Regeila
311,The Reluctant Dragon,null,Kenneth Grahame
310,Mike Mulligan and His Steam Shovel,null,Virginia Lee Burton
309,The Pit and the Pendulum,null,Edgar Allan Poe
308,Do pivnice,null,Josef Kolber
307,The Fall of the House of Usher,null,Edgar Allan Poe
306,The Castle of Otranto,null,Horace Walpole
305,The Three Wishes,750A,null
304,Skazka o tsare Saltane,null,Aleksandr Sergeyevich Pushkin
303,Kalevala,null,null
302,Majo no takkyûbin (Kiki's Delivery Service),null,Eiko Kadono
301,The Legend of Sleepy Hollow,null,Washington Irving
300,Das Marchen von dem Myrtenfräulein,null,Clemens Brentano
299,Mary Poppins,null,P. L. Travers
298,The Master Thief,1525A,null
297,Zerbin le Farouche,null,Édouard René Lefebvre de Laboulaye
296,The Ramayana,null,Valmiki
295,Čudnovate zgode šegrta Hlapića,null,Ivana Brlic-Mažuranic
294,The Book of Kells,null,Tomm Moore
293,The Hobbit,null,J. R. R. Tolkien
292,Totò il buono,null,Cesare Zavattini
290,Fortunée,null,Madame d'Aulnoy
289,The Princess and the Goblin,null,George MacDonald
288,Little Bo Peep,null,null
287,The Boy Who Cried Wolf,null,null
285,L'Oiseau Bleu,null,Maurice Maeterlinck
284,The Seven Swans,null,Hans Christian Andersen
282,Hans in Luck,1415,null
