CompanyId,Name,Description123123
269,Titanus,null
270,Lux Compagnie Cinématographique de France,null
271,DePatie-Freleng Enterprises,null
272,Selig Polyscope Company,null
273,Tiber-film,null
274,Feature Productions,null
275,Oriental,null
276,Ima Film,null
277,Trans-National,null
278,Allied Artists Pictures,null
279,Société des Etablissements L. Gaumont,null
280,Psiche Films,null
281,Prominent Features,null
282,Laura Film,null
283,British Screen,null
284,Cinema Action,null
285,Film Four International,null
286,S. Lubin,null
287,Clarendon,null
288,Rex Motion Picture Company,null
289,George Clark,null
290,Herbert M. Dawley Production,null
291,The Vitaphone Corporation,null
292,Robert E. Kent Productions,null
293,DEFA-Studio für Trickfilme,null
294,Filmové studio Barrandov,null
295,Thames Television,null
296,Ruby-Spears Productions,null
297,Triple Seven Concepts,null
298,Golan-Globus Productions,null
299,De Laurentiis Entertainment Group (DEG),null
300,Witt/Thomas Productions,null
301,Republic Pictures (II),null
302,American Film Investment II,null
303,Gaylord Productions,null
304,Lion's Gate Films,null
305,Polygram Filmed Entertainment,null
306,Little Red Movie Productions,null
307,Googly Films,null
308,American Zoetrope,null
309,Icelandic Film,null
310,True Fiction Pictures,null
311,Crimson Knight,null
312,Peakviewing Transatlantic PLC,null
313,WisenQuest,null
314,Light Quest Films,null
315,Candlelight Media Group,null
316,Warwick Trading Company,null
317,Edison Manufacturing Company,null
318,Bison Motion Pictures,null
319,0ttol,null
320,Terrytoons,null
321,Trafalgar Film Productions Ltd.,null
322,British National Films,null
323,Alsa Film,null
324,Charles Chaplin Productions,null
325,Diana Production Company,null
326,Alcina,null
327,Como Film,null
328,Union-Film,null
329,Producciones Cinematográficas Valdés,null
330,Anglo Allied,null
331,Foro 70,null
332,Trecevision Activa,null
333,Talent Associates-Norton Simon,null
334,Universal TV,null
335,ECRAN,null
336,Pont Royal Film TV,null
337,Progéfi,null
338,Westdeutscher Rundfunk (WDR),null
339,Borisfen-Lutece,null
340,Millimages,null
341,Septembre Productions,null
342,George Albert Smith Films,null
343,Hepworth,null
344,Edison Company,null
345,Thanhouser Film Corporation,null
346,Nestor Film Company,null
347,Empire Film Manufacturing Company,null
348,Società Anonima Ambrosio,null
349,Broncho Film Company,null
350,The Essanay Film Manufacturing Company,null
351,Biograph Company,null
352,Famous Players Film Company,null
353,Goldwyn Pictures Corporation,null
354,Universal Film Manufacturing Company,null
355,Cinémaginaire Inc.,null
356,Film du Boulevard,null
357,Kerry Kimmel & Pollack,null
358,The Weinstein Company,null
359,Vulcan Productions,null
360,Vulcan Productions,null
361,Bionaut Films,null
362,Majestic Motion Picture Company,"A production company formed November 1911 through circa 1917 in Jacksonvill, Florida; company principals included Roy and Harry E. Aitken."
363,United Channel Movies,"United Channels Movies (UCM) is a young and dynamic international production and marketing company. We handle feature films, TV dramas and series, as well as documentaries."
364,Afterglow Films,null
365,Awfully Grimm Productions,null
366,Roadside Attractions,"Roadside Attractions is a US film distributor based in Los Angeles, California, founded in 2003, specializing largely in independent films."
367,Wholesome Films Corp.,null
368,Reelcraft Pictures,null
369,Mary Pickford Company,null
370,Mack Sennett Comedies,null
371,California Producers Corporation,null
372,Fritz Genschow Films,null
373,Metro Pictures Corporation,null
374,Progress,null
375,Institut für Kulturforschung,null
376,Bud Fisher Film Corporation,null
377,Decla-Bioscop AG,null
378,Universum Film (UFA),null
379,Famous Players-Lasky Corporation,null
380,J.R. Bray Studios,null
381,John McCormick Productions,null
382,Goodwill Productions,null
383,Excellent Pictures,null
384,Cosmopolitan Productions,null
385,Van Beuren Studios,null
386,Pathé Film Exchange,Pathé Film Exchange was an independent American film production and distribution company from 1921 through 1927.
387,Chesterfield Motion Pictures Corporation,null
388,Società Italiana Cines,The Italian Society Cines is a film company specializing in the production and distribution of films.
389,Columbia Pictures Corporation,null
390,Primrose Productions,null
391,Omnia Film München,null
393,Slovenská filmová tvorba Koliba (SFT),null
394,Jetlag Productions,Jetlag Productions was an American-Japanese animation studio.
395,Canarom Productions,null
396,Castel Film Romania,null
397,Brown Bag Films,null
398,Irish Film Board,null
399,Williamson Kinematograph Company,null
400,Life Photoplay Corp.,null
401,Hal Roach Studios,null
402,Forrester-Parant Productions,null
403,Jam Handy Organization (JHO),null
404,Chevrolet,null
405,George Smith Productions,null
406,PWT Produzione,null
407,Schongerfilm GmbH,null
408,Chanford,null
409,Independent Film,null
410,Praesens-Film,null
411,Soyuzdetfilm,null
412,Arno Film,null
413,Hisar Film,null
414,Oppidan Film Productions,null
415,Cinedistri,null
416,Películas Rodríguez,null
417,Valiant,null
418,Herald Pictures,null
419,Artisti Associati,null
420,Opera Film Produzione,null
421,Produzioni Associate,null
422,Columbia Broadcasting System,null
423,Jerry Lewis Productions,null
424,Jay Ward Productions,null
425,Bolshoi Ballet,null
427,Guión Producciones Cinematográficas,null
428,Paul Mart Productions,null
429,BBC Enterprises,null
430,Covent Garden Films Ltd.,null
431,Deutsche Film (DEFA),null
432,Paradine Co-Productions,null
433,Independent-International Pictures,null
434,John-Charles-Walters Productions,null
435,Paramount Television,null
436,Cosgrove Hall Films,null
437,Koch Vision,null
438,Marvel Productions,null
439,Eurokim,null
440,Cayre Brothers,null
441,Interscope Communications,null
442,UPA Productions,null
443,Gold Pictures,null
444,Multi-Media-Verlag (MMV),null
446,Sextant Entertainment Group,null
447,Madragoa Filmes,null
448,Radiotelevisão Portuguesa (RTP),null
449,Television Center,null
450,Radiotelevisione Italiana,null
451,Stand Art,null
452,NVC Arts,null
453,BBC tv,null
454,Glyndebourne,null
455,Shaw Brothers,null
456,Canyon Cinema,null
457,NY Filmakers Coop,null
458,Vista Organization,null
459,Twentieth Century Fox Film Corporation,null
460,TORO-Film GmbH Berlin,null
461,Zweites Deutsches Fernsehen,null
462,Silver Screen Partners IV,null
463,Yoram Gross Films,null
464,BrownHouse Productions,null
465,Citadel Entertainment,null
466,Storyline Entertainment,null
467,Arte,null
468,Black Forest Films,null
469,Schlemmer Film,null
470,Children's Television Workshop,null
471,Kick Start,null
472,NFB Pacific,null
473,Shocking Buckwheat Pictures,null
474,Isle of Man Film Commission,null
475,Projector Productions,null
476,BBC Children's Drama,null
477,Catalyst Entertainment Production,null
478,Walt Disney Television Animation,null
479,Miramax Films,null
480,Jane Startz Productions,null
481,Blessington Film Productions,null
482,Noah's Art Pictures,null
483,Tag Entertainment,null
484,Partizan,null
485,Tawak Pictures,null
486,Two Oceans Entertainment,null
