LinkId,FilmId,URL
256,313,http://www.imdb.com/title/tt0257381/
257,314,http://www.imdb.com/title/tt0029833/
258,312,http://www.imdb.com/title/tt1014759/
259,315,http://www.imdb.com/title/tt0167482/
260,316,http://www.imdb.com/title/tt0187687/
262,318,http://www.imdb.com/title/tt0007617/
263,319,http://www.imdb.com/title/tt0091369/
270,330,http://www.imdb.com/title/tt0398672/
271,331,http://www.imdb.com/title/tt0281560/
272,332,http://www.imdb.com/title/tt0000576/
273,333,http://www.imdb.com/title/tt0036591/
274,334,http://www.imdb.com/title/tt0045175/
275,335,http://www.imdb.com/title/tt0055435/
276,336,http://www.imdb.com/title/tt0046695/
277,337,http://www.imdb.com/title/tt0058589/
278,338,http://www.imdb.com/title/tt0055435/
280,340,http://www.imdb.com/title/tt0132402/
281,341,http://www.imdb.com/title/tt0011742/
282,342,http://www.imdb.com/title/tt0154358/
283,343,http://www.imdb.com/title/tt0018515/
285,345,http://www.imdb.com/title/tt0034465/
286,346,http://www.imdb.com/title/tt0241725/
287,347,http://www.imdb.com/title/tt0373815/
288,348,"http://www.telerama.fr/cinema/films/les-mille-et-une-nuits,51454,casting.php"
289,349,http://www.imdb.com/title/tt0363312/
290,350,http://www.imdb.com/title/tt0064961/
291,351,http://www.imdb.com/title/tt0174469/
292,352,http://www.imdb.com/title/tt0071502/
293,356,http://www.imdb.com/title/tt0078793/
294,357,http://www.imdb.com/title/tt0078792/
295,358,http://www.imdb.com/title/tt0098961/
296,360,http://www.imdb.com/title/tt0192578/
297,363,http://www.imdb.com/title/tt0193688/
298,364,http://www.imdb.com/title/tt0181199/
299,365,http://www.imdb.com/title/tt0468332/
300,366,http://www.imdb.com/title/tt0011368/
301,367,http://www.imdb.com/title/tt0021029/
302,368,http://www.imdb.com/title/tt0145028/
303,369,http://www.imdb.com/title/tt0251175/
304,370,http://www.imdb.com/title/tt0036984/
305,371,http://www.imdb.com/title/tt0048260/
306,372,http://www.imdb.com/title/tt0202441/
309,373,http://www.imdb.com/title/tt0143184/
310,374,http://www.imdb.com/title/tt0297268/
311,375,http://www.imdb.com/title/tt0255353/
312,378,http://www.imdb.com/title/tt0392216/
313,377,http://www.imdb.com/title/tt0284360/
314,379,http://www.imdb.com/title/tt0331536/
315,380,http://www.imdb.com/title/tt0039852/
316,381,http://www.imdb.com/title/tt0056485/
318,384,http://www.imdb.com/title/tt0454275/
319,385,http://www.allocine.fr/film/fichefilm_gen_cfilm=34783.html
320,386,http://www.imdb.com/title/tt0039826/
321,387,http://www.imdb.com/title/tt0042968/
322,388,http://www.imdb.com/title/tt0046264/
323,389,http://www.imdb.com/title/tt0048642/
324,390,http://www.imdb.com/title/tt0157054/
325,391,http://www.imdb.com/title/tt0051337/
326,392,http://www.imdb.com/title/tt0056904/
327,393,http://www.imdb.com/title/tt0155179/
328,393,http://www.allocine.fr/film/fichefilm_gen_cfilm=35257.html
331,395,http://www.imdb.com/title/tt0071569/
332,396,http://www.imdb.com/title/tt0070695/
333,397,http://www.imdb.com/title/tt0076716/
334,398,http://www.imdb.com/title/tt0098333/
335,399,http://www.imdb.com/title/tt0165982/
336,400,http://www.imdb.com/title/tt0015400/
337,401,http://www.imdb.com/title/tt0033152/
338,402,http://www.imdb.com/title/tt0145650/
339,403,http://www.imdb.com/title/tt0041149/
